137	1011446
72	3
67	4
380	5
69	7
165	8
523	9
30	11
4	12
133	13
186	17
109	18
134	19
127	21
153	23
32	24
116	26
99	27
19	28
59	29
574	30
154	31
5	33
73	34
169	35
6	37
477	39
157	40
81	41
49	42
172	43
145	44
65	45
12	46
203	229010
15	47
449	48
66	49
57	50
7	51
155	53
155	2
155	102
155	33364
573	266
459	178
16	57
175	58
366	60
17	61
52	66
74	62
20	63
584	176
82	64
82	40763
110	65
111	69
93	70
33	71
24	72
194	68
8	73
55	40765
55	40760
21	75
60	76
94	77
117	78
95	79
167	83
118	84
100	85
168	89
481	90
101	93
53	94
517	95
83	97
526	98
34	99
377	101
13	103
45	106
47	105
27	107
25	108
22	111
112	113
38	114
142	115
142	1012936
142	52
184	1013696
128	117
89	118
39	119
90	121
75	122
26	123
156	126
91	130
56	132
174	133
174	61013
61	135
129	137
138	138
146	139
119	140
85	141
178	142
54	144
68	145
68	40762
102	146
120	147
103	148
181	150
176	152
147	153
50	155
77	156
51	159
182	160
14	1006344
161	163
121	165
70	166
1	167
480	2647
41	169
177	170
148	1011440
163	172
139	175
104	177
164	179
23	180
58	181
62	182
476	183
196	67
381	185
107	186
107	234
124	187
140	188
140	1012935
519	189
92	267
92	91
18	191
188	1011441
9	194
382	87
10	1011442
158	196
113	198
42	199
130	201
577	86
576	161
531	206
166	59
84	92
76	241
122	203
98	204
173	205
529	207
2	212
78	213
63	214
131	215
48	217
79	2648
183	220
46	221
150	222
114	223
115	224
189	1011444
125	226
179	1013965
195	1011443
8402	74
43	229
144	231
31	208
35	209
36	211
96	6
37	233
180	235
108	236
105	237
86	238
141	239
200	257
151	240
378	20
185	242
64	243
3	245
28	246
71	248
87	249
135	250
97	253
123	254
132	255
40	256
106	259002
11	260
136	261
191	262
80	110
29	263
152	1011447
44	268
126	269
170	270
171	271
379	894
